ncm,capitulo,marca_aec,res_1_2022_agosto,res_26_2022_octubre,entrada,salida
4811.59.29,48,,no,si,2022-10-04,2023-12-27
4811.59.30,48,,no,si,2022-10-04,2023-12-27
4811.60.10,48,,no,si,2022-10-04,2023-12-27
4811.60.90,48,,no,si,2022-10-04,2023-12-27
4811.90.10,48,,no,si,2022-10-04,2023-12-27
4811.90.90,48,,no,si,2022-10-04,2023-12-27
4812.00.00,48,,no,si,2022-10-04,2023-12-27
4813.10.00,48,,no,si,2022-10-04,2023-12-27
4813.20.00,48,,no,si,2022-10-04,2023-12-27
4813.90.00,48,,no,si,2022-10-04,2023-12-27
4814.20.00,48,,no,si,2022-10-04,2023-12-27
4814.90.00,48,,no,si,2022-10-04,2023-12-27
4816.20.00,48,,no,si,2022-10-04,2023-12-27
4816.90.10,48,,no,si,2022-10-04,2023-12-27
4816.90.90,48,,no,si,2022-10-04,2023-12-27
4817.10.00,48,,no,si,2022-10-04,2023-12-27
4817.20.00,48,,no,si,2022-10-04,2023-12-27
4817.30.00,48,,no,si,2022-10-04,2023-12-27
4818.10.00,48,,no,si,2022-10-04,2023-12-27
4818.20.00,48,,no,si,2022-10-04,2023-12-27
4818.30.00,48,,no,si,2022-10-04,2023-12-27
4818.50.00,48,,no,si,2022-10-04,2023-12-27
4818.90.10,48,,no,si,2022-10-04,2023-12-27
4818.90.90,48,,no,si,2022-10-04,2023-12-27
4819.10.00,48,,no,si,2022-10-04,2023-12-27
4819.20.00,48,,si,si,2022-08-25,2023-12-27
4819.30.00,48,,si,si,2022-08-25,2023-12-27
4819.40.00,48,,no,si,2022-10-04,2023-12-27
4819.50.00,48,,no,si,2022-10-04,2023-12-27
4819.60.00,48,,no,si,2022-10-04,2023-12-27
4820.10.00,48,,si,si,2022-08-25,2023-12-27
4820.20.00,48,,si,si,2022-08-25,2023-12-27
4820.30.00,48,,si,si,2022-08-25,2023-12-27
4820.40.00,48,,no,si,2022-10-04,2023-12-27
4820.50.00,48,,no,si,2022-10-04,2023-12-27
4820.90.00,48,,no,si,2022-10-04,2023-12-27
4821.10.00,48,,si,si,2022-08-25,2023-12-27
4821.90.00,48,,no,si,2022-10-04,2023-12-27
4822.10.00,48,,no,si,2022-10-04,2023-12-27
4822.90.00,48,,no,si,2022-10-04,2023-12-27
4823.20.10,48,,no,si,2022-10-04,2023-12-27
4823.20.91,48,,no,si,2022-10-04,2023-12-27
4823.20.99,48,,no,si,2022-10-04,2023-12-27
4823.40.00,48,,no,si,2022-10-04,2023-12-27
4823.61.00,48,,no,si,2022-10-04,2023-12-27
4823.69.00,48,,no,si,2022-10-04,2023-12-27
4823.70.00,48,,no,si,2022-10-04,2023-12-27
4823.90.10,48,,no,si,2022-10-04,2023-12-27
4823.90.20,48,,no,si,2022-10-04,2023-12-27
4823.90.91,48,,no,si,2022-10-04,2023-12-27
4823.90.99,48,,si,si,2022-08-25,2023-12-27
4901.10.00,49,,si,si,2022-08-25,2023-12-27
4901.91.00,49,,no,si,2022-10-04,2023-12-27
4901.99.00,49,,si,si,2022-08-25,2023-12-27
4902.10.00,49,,no,si,2022-10-04,2023-12-27
4902.90.00,49,,si,si,2022-08-25,2023-12-27
4903.00.00,49,,si,si,2022-08-25,2023-12-27
4904.00.00,49,,no,si,2022-10-04,2023-12-27
4905.10.00,49,,no,si,2022-10-04,2023-12-27
4905.91.00,49,,no,si,2022-10-04,2023-12-27
4905.99.00,49,,no,si,2022-10-04,2023-12-27
4906.00.00,49,,no,si,2022-10-04,2023-12-27
4907.00.10,49,,no,si,2022-10-04,2023-12-27
4907.00.20,49,,no,si,2022-10-04,2023-12-27
4907.00.30,49,,no,si,2022-10-04,2023-12-27
4907.00.90,49,,no,si,2022-10-04,2023-12-27
4908.10.00,49,,no,si,2022-10-04,2023-12-27
4908.90.00,49,,si,si,2022-08-25,2023-12-27
4909.00.00,49,,no,si,2022-10-04,2023-12-27
4910.00.00,49,,si,si,2022-08-25,2023-12-27
4911.10.10,49,,no,si,2022-10-04,2023-12-27
4911.10.90,49,,si,si,2022-08-25,2023-12-27
4911.91.00,49,,si,si,2022-08-25,2023-12-27
4911.99.00,49,,si,si,2022-08-25,2023-12-27
5004.00.00,50,,no,si,2022-10-04,2023-12-27
5005.00.00,50,,no,si,2022-10-04,2023-12-27
5006.00.00,50,,no,si,2022-10-04,2023-12-27
5007.10.10,50,,no,si,2022-10-04,2023-12-27
5007.10.90,50,,no,si,2022-10-04,2023-12-27
5007.20.10,50,,no,si,2022-10-04,2023-12-27
5007.20.90,50,,no,si,2022-10-04,2023-12-27
5007.90.00,50,,no,si,2022-10-04,2023-12-27
5101.21.00,51,,no,si,2022-10-04,2023-12-27
5101.29.00,51,,no,si,2022-10-04,2023-12-27
5101.30.00,51,,no,si,2022-10-04,2023-12-27
5102.11.00,51,,no,si,2022-10-04,2023-12-27
5102.19.00,51,,no,si,2022-10-04,2023-12-27
5102.20.00,51,,no,si,2022-10-04,2023-12-27
5103.10.00,51,,no,si,2022-10-04,2023-12-27
5103.20.00,51,,no,si,2022-10-04,2023-12-27
5103.30.00,51,,no,si,2022-10-04,2023-12-27
5104.00.00,51,,no,si,2022-10-04,2023-12-27
5105.10.00,51,,no,si,2022-10-04,2023-12-27
5105.21.00,51,,no,si,2022-10-04,2023-12-27
5105.29.10,51,,no,si,2022-10-04,2023-12-27
5105.29.91,51,,no,si,2022-10-04,2023-12-27
5105.29.99,51,,no,si,2022-10-04,2023-12-27
5105.31.00,51,,no,si,2022-10-04,2023-12-27
5105.39.00,51,,no,si,2022-10-04,2023-12-27
5105.40.00,51,,no,si,2022-10-04,2023-12-27
5106.10.00,51,,no,si,2022-10-04,2023-12-27
5106.20.00,51,,no,si,2022-10-04,2023-12-27
5107.10.11,51,,no,si,2022-10-04,2023-12-27
5107.10.19,51,,no,si,2022-10-04,2023-12-27
5107.10.90,51,,no,si,2022-10-04,2023-12-27
5107.20.00,51,,no,si,2022-10-04,2023-12-27
5108.10.00,51,,no,si,2022-10-04,2023-12-27
5108.20.00,51,,no,si,2022-10-04,2023-12-27
5109.10.00,51,,no,si,2022-10-04,2023-12-27
5109.90.00,51,,no,si,2022-10-04,2023-12-27
5110.00.00,51,,no,si,2022-10-04,2023-12-27
5111.11.10,51,,si,si,2022-08-25,2023-12-27
5111.11.20,51,,si,si,2022-08-25,2023-12-27
5111.19.00,51,,si,si,2022-08-25,2023-12-27
5111.20.00,51,,si,si,2022-08-25,2023-12-27
5111.30.10,51,,no,si,2022-10-04,2023-12-27
5111.30.90,51,,si,si,2022-08-25,2023-12-27
5111.90.00,51,,si,si,2022-08-25,2023-12-27
